Voltage,Frequency
752,3
763,3
825,3
883,6
903,3
905,3
909,3
936,6
984,6
1066,3
1095,3
1125,3
1132,3
1169,3
1188,3
1206,3
1207,6
1209,3
1228,3
1231,3
1235,6
1238,9
1239,24
1240,33
1241,51
1242,65
1243,207
1244,195
1245,201
1246,220
1247,135
1248,69
1249,48
1250,33
1251,60
1252,48
1253,48
1254,15
1255,9
1256,30
1257,15
1258,21
1259,15
1260,6
1261,3
1262,3
1264,12
1265,3
1266,3
1267,3
1268,9
1269,3
1272,3
1279,6
1281,6
1283,3
1286,3
1294,3
1295,6
1310,6
1311,3
1314,3
1315,6
1322,3
1330,3
1340,3
1351,6
1357,3
1362,3
1377,3
1405,3
1408,3
1417,3
1439,6
1463,6
1470,3
1477,3
1504,6
1540,3
1583,3
6834,4
6838,3
10243,5
10244,5
10443,1
12044,1
